row_id,order_id,order_date,ship_date,customer_id,customer_name,segment,country,state,city,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit
1,CA-2016-152156,2016-11-08,2016-11-11,CG-12520,"Claire Gute",CONSUMER,"UNITED STATES",KENTUCKY,HENDERSON,42420,SOUTH,FUR-BO-10001798,FURNITURE,BOOKCASES,"Bush Somerset Collection Bookcase",261.96,2,0.000,41.91
2,CA-2016-152156,2016-11-08,2016-11-11,CG-12520,"Claire Gute",CONSUMER,"UNITED STATES",KENTUCKY,HENDERSON,42420,SOUTH,FUR-CH-10000454,FURNITURE,CHAIRS,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.000,219.58
3,CA-2016-138688,2016-06-12,2016-06-16,DV-13045,"Darrin Van Huff",CORPORATE,"UNITED STATES",CALIFORNIA,"LOS ANGELES",90036,WEST,OFF-LA-10000240,"OFFICE SUPPLIES",LABELS,"Self-Adhesive Address Labels for Typewriters by Universal",14.62,2,0.000,6.87
4,US-2015-108966,2015-10-11,2015-10-18,SO-20335,"Sean O'Donnell",CONSUMER,"UNITED STATES",FLORIDA,"FORT LAUDERDALE",33311,SOUTH,FUR-TA-10000577,FURNITURE,TABLES,"Bretford CR4500 Series Slim Rectangular Table",957.58,5,0.450,-383.03
5,US-2015-108966,2015-10-11,2015-10-18,SO-20335,"Sean O'Donnell",CONSUMER,"UNITED STATES",FLORIDA,"FORT LAUDERDALE",33311,SOUTH,OFF-ST-10000760,"OFFICE SUPPLIES",STORAGE,"Eldon Fold 'N Roll Cart System",22.37,2,0.200,2.52
6,CA-2014-115812,2014-06-09,2014-06-14,BH-11710,"Brosina Hoffman",CONSUMER,"UNITED STATES",CALIFORNIA,"LOS ANGELES",90032,WEST,FUR-FU-10001487,FURNITURE,FURNISHINGS,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.000,14.17
7,CA-2014-115812,2014-06-09,2014-06-14,BH-11710,"Brosina Hoffman",CONSUMER,"UNITED STATES",CALIFORNIA,"LOS ANGELES",90032,WEST,OFF-AR-10002833,"OFFICE SUPPLIES",ART,"Newell 322",7.28,4,0.000,1.97
8,CA-2014-115812,2014-06-09,2014-06-14,BH-11710,"Brosina Hoffman",CONSUMER,"UNITED STATES",CALIFORNIA,"LOS ANGELES",90032,WEST,TEC-PH-10002275,TECHNOLOGY,PHONES,"Mitel 5320 IP Phone VoIP phone",907.15,6,0.200,90.72
9,CA-2014-115812,2014-06-09,2014-06-14,BH-11710,"Brosina Hoffman",CONSUMER,"UNITED STATES",CALIFORNIA,"LOS ANGELES",90032,WEST,OFF-BI-10003910,"OFFICE SUPPLIES",BINDERS,"DXL Angle-View Binders with Locking Rings by Samsill",18.50,3,0.200,5.78
10,CA-2014-115812,2014-06-09,2014-06-14,BH-11710,"Brosina Hoffman",CONSUMER,"UNITED STATES",CALIFORNIA,"LOS ANGELES",90032,WEST,OFF-AP-10002892,"OFFICE SUPPLIES",APPLIANCES,"Belkin F5C206VTEL 6 Outlet Surge",114.90,5,0.000,34.47
11,CA-2014-115812,2014-06-09,2014-06-14,BH-11710,"Brosina Hoffman",CONSUMER,"UNITED STATES",CALIFORNIA,"LOS ANGELES",90032,WEST,FUR-TA-10001539,FURNITURE,TABLES,"Chromcraft Rectangular Conference Tables",1706.18,9,0.200,85.31
12,CA-2014-115812,2014-06-09,2014-06-14,BH-11710,"Brosina Hoffman",CONSUMER,"UNITED STATES",CALIFORNIA,"LOS ANGELES",90032,WEST,TEC-PH-10002033,TECHNOLOGY,PHONES,"Konftel 250 Conference phone - Charcoal black",911.42,4,0.200,68.36
13,CA-2017-114412,2017-04-15,2017-04-20,AA-10480,"Andrew Allen",CONSUMER,"UNITED STATES","NORTH CAROLINA",CONCORD,28027,SOUTH,OFF-PA-10002365,"OFFICE SUPPLIES",PAPER,"Xerox 1967",15.55,3,0.200,5.44
14,CA-2016-161389,2016-12-05,2016-12-10,IM-15070,"Irene Maddox",CONSUMER,"UNITED STATES",WASHINGTON,SEATTLE,98103,WEST,OFF-BI-10003656,"OFFICE SUPPLIES",BINDERS,"Fellowes PB200 Plastic Comb Binding Machine",407.98,3,0.200,132.59
15,US-2015-118983,2015-11-22,2015-11-26,HP-14815,"Harold Pawlan","HOME OFFICE","UNITED STATES",TEXAS,"FORT WORTH",76106,CENTRAL,OFF-AP-10002311,"OFFICE SUPPLIES",APPLIANCES,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.800,-123.86
16,US-2015-118983,2015-11-22,2015-11-26,HP-14815,"Harold Pawlan","HOME OFFICE","UNITED STATES",TEXAS,"FORT WORTH",76106,CENTRAL,OFF-BI-10000756,"OFFICE SUPPLIES",BINDERS,"Storex DuraTech Recycled Plastic Frosted Binders",2.54,3,0.800,-3.82
17,CA-2014-105893,2014-11-11,2014-11-18,PK-19075,"Pete Kriz",CONSUMER,"UNITED STATES",WISCONSIN,MADISON,53711,CENTRAL,OFF-ST-10004186,"OFFICE SUPPLIES",STORAGE,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72"H x 36""W x 18 1/2""D"",665.88,6,0.000,13.32
18,CA-2014-167164,2014-05-13,2014-05-15,AG-10270,"Alejandro Grove",CONSUMER,"UNITED STATES",UTAH,"WEST JORDAN",84084,WEST,OFF-ST-10000107,"OFFICE SUPPLIES",STORAGE,"Fellowes Super Stor/Drawer",55.50,2,0.000,9.99
19,CA-2014-143336,2014-08-27,2014-09-01,ZD-21925,"Zuschuss Donatelli",CONSUMER,"UNITED STATES",CALIFORNIA,"SAN FRANCISCO",94109,WEST,OFF-AR-10003056,"OFFICE SUPPLIES",ART,"Newell 341",8.56,2,0.000,2.48
20,CA-2014-143336,2014-08-27,2014-09-01,ZD-21925,"Zuschuss Donatelli",CONSUMER,"UNITED STATES",CALIFORNIA,"SAN FRANCISCO",94109,WEST,TEC-PH-10001949,TECHNOLOGY,PHONES,"Cisco SPA 501G IP Phone",213.48,3,0.200,16.01
21,CA-2014-143336,2014-08-27,2014-09-01,ZD-21925,"Zuschuss Donatelli",CONSUMER,"UNITED STATES",CALIFORNIA,"SAN FRANCISCO",94109,WEST,OFF-BI-10002215,"OFFICE SUPPLIES",BINDERS,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.200,7.38
22,CA-2016-137330,2016-12-09,2016-12-13,KB-16585,"Ken Black",CORPORATE,"UNITED STATES",NEBRASKA,FREMONT,68025,CENTRAL,OFF-AR-10000246,"OFFICE SUPPLIES",ART,"Newell 318",19.46,7,0.000,5.06
23,CA-2016-137330,2016-12-09,2016-12-13,KB-16585,"Ken Black",CORPORATE,"UNITED STATES",NEBRASKA,FREMONT,68025,CENTRAL,OFF-AP-10001492,"OFFICE SUPPLIES",APPLIANCES,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.000,15.69
24,US-2017-156909,2017-07-16,2017-07-18,SF-20065,"Sandra Flanagan",CONSUMER,"UNITED STATES",PENNSYLVANIA,PHILADELPHIA,19140,EAST,FUR-CH-10002774,FURNITURE,CHAIRS,"Global Deluxe Stacking Chair, Gray",71.37,2,0.300,-1.02
25,CA-2015-106320,2015-09-25,2015-09-30,EB-13870,"Emily Burns",CONSUMER,"UNITED STATES",UTAH,OREM,84057,WEST,FUR-TA-10000577,FURNITURE,TABLES,"Bretford CR4500 Series Slim Rectangular Table",1044.63,3,0.000,240.26
26,CA-2016-121755,2016-01-16,2016-01-20,EH-13945,"Eric Hoffmann",CONSUMER,"UNITED STATES",CALIFORNIA,"LOS ANGELES",90049,WEST,OFF-BI-10001634,"OFFICE SUPPLIES",BINDERS,"Wilson Jones Active Use Binders",11.65,2,0.200,4.22
27,CA-2016-121755,2016-01-16,2016-01-20,EH-13945,"Eric Hoffmann",CONSUMER,"UNITED STATES",CALIFORNIA,"LOS ANGELES",90049,WEST,TEC-AC-10003027,TECHNOLOGY,ACCESSORIES,"Imation 8GB Mini TravelDrive USB 2.0 Flash Drive",90.57,3,0.000,11.77
28,US-2015-150630,2015-09-17,2015-09-21,TB-21520,"Tracy Blumstein",CONSUMER,"UNITED STATES",PENNSYLVANIA,PHILADELPHIA,19140,EAST,FUR-BO-10004834,FURNITURE,BOOKCASES,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.500,-1665.05
29,US-2015-150630,2015-09-17,2015-09-21,TB-21520,"Tracy Blumstein",CONSUMER,"UNITED STATES",PENNSYLVANIA,PHILADELPHIA,19140,EAST,OFF-BI-10000474,"OFFICE SUPPLIES",BINDERS,"Avery Recycled Flexi-View Covers for Binding Systems",9.62,2,0.700,-7.05
30,US-2015-150630,2015-09-17,2015-09-21,TB-21520,"Tracy Blumstein",CONSUMER,"UNITED STATES",PENNSYLVANIA,PHILADELPHIA,19140,EAST,FUR-FU-10004848,FURNITURE,FURNISHINGS,"Howard Miller 13-3/4" Diameter Brushed Chrome Round Wall Clock"",124.20,3,0.200,15.52
31,US-2015-150630,2015-09-17,2015-09-21,TB-21520,"Tracy Blumstein",CONSUMER,"UNITED STATES",PENNSYLVANIA,PHILADELPHIA,19140,EAST,OFF-EN-10001509,"OFFICE SUPPLIES",ENVELOPES,"Poly String Tie Envelopes",3.26,2,0.200,1.10
32,US-2015-150630,2015-09-17,2015-09-21,TB-21520,"Tracy Blumstein",CONSUMER,"UNITED STATES",PENNSYLVANIA,PHILADELPHIA,19140,EAST,OFF-AR-10004042,"OFFICE SUPPLIES",ART,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.30,6,0.200,9.71
33,US-2015-150630,2015-09-17,2015-09-21,TB-21520,"Tracy Blumstein",CONSUMER,"UNITED STATES",PENNSYLVANIA,PHILADELPHIA,19140,EAST,OFF-BI-10001525,"OFFICE SUPPLIES",BINDERS,"Acco Pressboard Covers with Storage Hooks, 14 7/8" x 11""",NULL,NULL,NULL,0.70
34,US-2015-150630,2015-09-17,2015-09-21,TB-21520,"Tracy Blumstein",CONSUMER,"UNITED STATES",PENNSYLVANIA,PHILADELPHIA,19140,EAST,OFF-AR-10001683,"OFFICE SUPPLIES",ART,"Lumber Crayons",15.76,2,0.200,3.55
35,CA-2017-107727,2017-10-19,2017-10-23,MA-17560,"Matt Abelman","HOME OFFICE","UNITED STATES",TEXAS,HOUSTON,77095,CENTRAL,OFF-PA-10000249,"OFFICE SUPPLIES",PAPER,"Easy-staple paper",29.47,3,0.200,9.95
36,CA-2016-117590,2016-12-08,2016-12-10,GH-14485,"Gene Hale",CORPORATE,"UNITED STATES",TEXAS,RICHARDSON,75080,CENTRAL,TEC-PH-10004977,TECHNOLOGY,PHONES,"GE 30524EE4",1097.54,7,0.200,123.47
37,CA-2016-117590,2016-12-08,2016-12-10,GH-14485,"Gene Hale",CORPORATE,"UNITED STATES",TEXAS,RICHARDSON,75080,CENTRAL,FUR-FU-10003664,FURNITURE,FURNISHINGS,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.600,-147.96
38,CA-2015-117415,2015-12-27,2015-12-31,SN-20710,"Steve Nguyen","HOME OFFICE","UNITED STATES",TEXAS,HOUSTON,77041,CENTRAL,OFF-EN-10002986,"OFFICE SUPPLIES",ENVELOPES,"#10-4 1/8" x 9 1/2"" Premium Diagonal Seam Envelopes"",113.33,9,0.200,35.42
39,CA-2015-117415,2015-12-27,2015-12-31,SN-20710,"Steve Nguyen","HOME OFFICE","UNITED STATES",TEXAS,HOUSTON,77041,CENTRAL,FUR-BO-10002545,FURNITURE,BOOKCASES,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.40,3,0.320,-46.98
40,CA-2015-117415,2015-12-27,2015-12-31,SN-20710,"Steve Nguyen","HOME OFFICE","UNITED STATES",TEXAS,HOUSTON,77041,CENTRAL,FUR-CH-10004218,FURNITURE,CHAIRS,"Global Fabric Manager's Chair, Dark Gray",212.06,3,0.300,-15.15
41,CA-2015-117415,2015-12-27,2015-12-31,SN-20710,"Steve Nguyen","HOME OFFICE","UNITED STATES",TEXAS,HOUSTON,77041,CENTRAL,TEC-PH-10000486,TECHNOLOGY,PHONES,"Plantronics HL10 Handset Lifter",371.17,4,0.200,41.76
42,CA-2017-120999,2017-09-10,2017-09-15,LC-16930,"Linda Cazamias",CORPORATE,"UNITED STATES",ILLINOIS,NAPERVILLE,60540,CENTRAL,TEC-PH-10004093,TECHNOLOGY,PHONES,"Panasonic Kx-TS550",147.17,4,0.200,16.56
43,CA-2016-101343,2016-07-17,2016-07-22,RA-19885,"Ruben Ausman",CORPORATE,"UNITED STATES",CALIFORNIA,"LOS ANGELES",90049,WEST,OFF-ST-10003479,"OFFICE SUPPLIES",STORAGE,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.000,3.89
44,CA-2017-139619,2017-09-19,2017-09-23,ES-14080,"Erin Smith",CORPORATE,"UNITED STATES",FLORIDA,MELBOURNE,32935,SOUTH,OFF-ST-10003282,"OFFICE SUPPLIES",STORAGE,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.62,2,0.200,9.56
45,CA-2016-118255,2016-03-11,2016-03-13,ON-18715,"Odella Nelson",CORPORATE,"UNITED STATES",MINNESOTA,EAGAN,55122,CENTRAL,TEC-AC-10000171,TECHNOLOGY,ACCESSORIES,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.000,19.77
46,CA-2016-118255,2016-03-11,2016-03-13,ON-18715,"Odella Nelson",CORPORATE,"UNITED STATES",MINNESOTA,EAGAN,55122,CENTRAL,OFF-BI-10003291,"OFFICE SUPPLIES",BINDERS,"Wilson Jones Leather-Like Binders with DublLock Round Rings",17.46,2,0.000,8.21
47,CA-2014-146703,2014-10-20,2014-10-25,PO-18865,"Patrick O'Donnell",CONSUMER,"UNITED STATES",MICHIGAN,WESTLAND,48185,CENTRAL,OFF-ST-10001713,"OFFICE SUPPLIES",STORAGE,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.000,8.48
48,CA-2016-169194,2016-06-20,2016-06-25,LH-16900,"Lena Hernandez",CONSUMER,"UNITED STATES",DELAWARE,DOVER,19901,EAST,TEC-AC-10002167,TECHNOLOGY,ACCESSORIES,"Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",45.00,3,0.000,4.95
49,CA-2016-169194,2016-06-20,2016-06-25,LH-16900,"Lena Hernandez",CONSUMER,"UNITED STATES",DELAWARE,DOVER,19901,EAST,TEC-PH-10003988,TECHNOLOGY,PHONES,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.80,2,0.000,6.10
50,CA-2015-115742,2015-04-18,2015-04-22,DP-13000,"Darren Powers",CONSUMER,"UNITED STATES",INDIANA,"NEW ALBANY",47150,CENTRAL,OFF-BI-10004410,"OFFICE SUPPLIES",BINDERS,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.000,17.96
51,CA-2015-115742,2015-04-18,2015-04-22,DP-13000,"Darren Powers",CONSUMER,"UNITED STATES",INDIANA,"NEW ALBANY",47150,CENTRAL,OFF-LA-10002762,"OFFICE SUPPLIES",LABELS,"Avery 485",75.18,6,0.000,35.33
52,CA-2015-115742,2015-04-18,2015-04-22,DP-13000,"Darren Powers",CONSUMER,"UNITED STATES",INDIANA,"NEW ALBANY",47150,CENTRAL,FUR-FU-10001706,FURNITURE,FURNISHINGS,"Longer-Life Soft White Bulbs",6.16,2,0.000,2.96
53,CA-2015-115742,2015-04-18,2015-04-22,DP-13000,"Darren Powers",CONSUMER,"UNITED STATES",INDIANA,"NEW ALBANY",47150,CENTRAL,FUR-CH-10003061,FURNITURE,CHAIRS,"Global Leather Task Chair, Black",89.99,1,0.000,17.10
54,CA-2016-105816,2016-12-11,2016-12-17,JM-15265,"Janet Molinari",CORPORATE,"UNITED STATES","NEW YORK","NEW YORK CITY",10024,EAST,OFF-FA-10000304,"OFFICE SUPPLIES",FASTENERS,"Advantus Push Pins",15.26,7,0.000,6.26
